# time	A	B	C
0	1.0	0.0	0.0
9.999999999999982e-05	0.9704499023102415	0.02954859806647543	1.49962328334411e-06
0.00019999999999999955	0.941773012893957	0.05822107746289982	5.909643143465284e-06
0.0003000000000000008	0.9139435283613618	0.0860433278770171	1.3143761621065471e-05
0.0004000000000000032	0.8869364078153612	0.1130404739537397	2.3118230899518416e-05
0.0005000000000000056	0.860727350319813	0.13923689790223903	3.575177794790168e-05
0.0006000000000000081	0.8352927730336152	0.16465626143499373	5.096553139083428e-05
0.0007000000000000105	0.8106097899909223	0.18932152705853808	6.868295053931797e-05
0.0008000000000000129	0.7866561915084155	0.21325497873506524	8.88297565187239e-05
0.0009000000000000154	0.7634104242010878	0.23647824193347938	0.00011133386543195426
0.0010000000000000152	0.7408515715885658	0.25901230308793594	0.00013612532349763858
0.0011000000000000068	0.7189593352745121	0.28087752848138203	0.00016313624410500325
0.0011999999999999984	0.6977140166821866	0.3020936825710842	0.0001923007467287752
0.00129999999999999	0.6770964993297137	0.32267994577263653	0.00022355489764915671
0.0013999999999999816	0.6570882316291269	0.34265493171844896	0.0002568366524235302
0.0014999999999999731	0.6376712101936953	0.3620367040062458	0.00029208580005813046
0.0015999999999999647	0.6188279636385253	0.38084279245264474	0.00032924390882944834
0.0016999999999999563	0.600541536859852	0.39909020886644037	0.00036825427370661856
0.001799999999999948	0.5827954757788856	0.41679546235578585	0.0004090618653274803
0.0018999999999999395	0.5655738125364707	0.4339745741830466	0.0004516132804823998
0.001999999999999941	0.5488610511252484	0.45064309218068965	0.0004958566940613023
0.0020999999999999543	0.5326421534463933	0.4668161047411851	0.0005417418124206732
0.0021999999999999676	0.516902525778369	0.4825082543935017	0.000589219828128565
0.002299999999999981	0.5016280056455352	0.49773375097841743	0.0006382433760469025
0.002399999999999994	0.4868048490747912	0.5125063844344974	0.0006887664907115541
0.0025000000000000074	0.4724197182287828	0.5268395372062458	0.0007407445649718237
0.0026000000000000207	0.4584596694045539	0.540746196285594	0.0007941343098521556
0.002700000000000034	0.44491214138683527	0.5542389648975652	0.0008488937155999267
0.0028000000000000472	0.43176494414549443	0.5673300738406213	0.000904982013884282
0.0029000000000000605	0.41900624786698154	0.5800313924919058	0.000962359641111994
0.003000000000000074	0.40662457230989313	0.592354439487279	0.001020988202827351
0.003100000000000087	0.3946087764750793	0.6043103930857558	0.001080830439164021
0.0032000000000001003	0.38294804858100456	0.6159101012276768	0.0011418501913178212
0.0033000000000001136	0.3716318963353334	0.6271640912956555	0.001204012369010228
0.003400000000000127	0.36065013749399377	0.6380825795870927	0.001267282918913329
0.00350000000000014	0.34999289069922135	0.6486754805067706	0.001331628794007829
0.0036000000000001534	0.3396505665883382	0.6589524154878144	0.001397017923846537
0.0037000000000001667	0.32961385916527125	0.6689227216490315	0.0014634191856965505
0.00380000000000018	0.319873737427039	0.6785954601964261	0.0015308023765342113
0.0039000000000001932	0.31042143723768173	0.6879794245764492	0.0015991381858675997
0.0040000000000002065	0.30124845344231277	0.6970831483883236	0.0016683981693621352
0.00410000000000022	0.2923465322142037	0.7059149130625494	0.001738554723245538
0.004200000000000233	0.2837076636280121	0.7144827553125175	0.0018095810594691264
0.004300000000000246	0.27532407445247103	0.7227944743659243	0.0018814511816031053
0.00440000000000026	0.26718822115605806	0.7308576389824961	0.0019541398614441453
0.004500000000000273	0.25929278311934334	0.7386795942643407	0.0020276226163142095
0.004600000000000286	0.2516306560479176	0.7462674682650503	0.0021018756870302153
0.004700000000000299	0.24419494557996346	0.75362817840351	0.0021768760165246748
0.004800000000000313	0.23697896108273023	0.7607684376881694	0.0022526012290981097
0.004900000000000326	0.229976209632318	0.767694760757395	0.002329029610284564
0.005000000000000339	0.22318039017136257	0.7744134697413226	0.002406140087312073
0.0051000000000003525	0.21658538783936043	0.7809306999504959	0.002483912210140559
0.005200000000000366	0.2101852684705331	0.7872524053964036	0.0025623261330600154
0.005300000000000379	0.2039742732542807	0.7933843641488835	0.002641362596832512
0.005400000000000392	0.19794681355341925	0.7993321835352151	0.0027210029113618776
0.005500000000000406	0.1920974658755392	0.8051013051855814	0.0028012289388755023
