# time	A	B	C
0	1.0	0.0	0.0
0.0001	0.97044553375	0.02955298118712375	1.48506287625e-06
0.0002	0.9417645339753223	0.058229584638807036	5.881385870576554e-06
0.00030000000000000003	0.9139311858405017	0.08605571152675444	1.3102632743814386e-05
0.0004	0.8869204374537561	0.11305649752733603	2.3065018907813324e-05
0.0005	0.8607079773185938	0.13925633544539337	3.568723601275155e-05
0.0006000000000000001	0.8352702124518256	0.16467889716941103	5.089037876323054e-05
0.0007000000000000001	0.8105842471482878	0.1893471549778148	6.859787389728125e-05
0.0008000000000000001	0.7866278623731621	0.21328340221557346	8.873541126435788e-05
0.0009000000000000002	0.7633794957633449	0.2365092733597148	0.00011123087694028477
0.0010000000000000002	0.740818222219865	0.2590457634918159	0.00013601428831895527
0.0011000000000000003	0.7189237350738831	0.2809132471949945	0.00016301773112236087
0.0012000000000000003	0.6976763278093181	0.30213149689240965	0.00019217529827225525
0.0013000000000000004	0.6770568763256537	0.3227197006437779	0.0002234230305684338
0.0014000000000000004	0.6570468217249568	0.34269647941592307	0.00025669885912023467
0.0015000000000000005	0.6376281536076167	0.36207990384290384	0.0002919425494794463
0.0016000000000000005	0.6187833938617706	0.38088751049080505	0.00032909564742433713
0.0017000000000000006	0.6004955809318224	0.39913631764183155	0.00036810142634600897
0.0018000000000000006	0.5827482545518987	0.4168428406119115	0.000408904836189719
0.0019000000000000006	0.5655254409304982	0.4340231066155965	0.0004514524539052137
0.0020000000000000005	0.5488116383730014	0.45069266919163703	0.0004956924353614764
0.0021000000000000003	0.5325918033290993	0.466866622202218	0.0005415744686826094
0.0022	0.5168513368525828	0.4825596134184542	0.0005890497289628484
0.0023	0.5015760714613058	0.49778585770437417	0.0006380708343199514
0.0024	0.486752258385495	0.5125591498112575	0.000688591803247405
0.0024999999999999996	0.47236655519292964	0.5268928767938432	0.0007405680132270652
0.0025999999999999994	0.45840601377985146	0.5408000300595835	0.0007939561605649779
0.0026999999999999993	0.4448580687167978	0.5542932170617879	0.0008487142214142313
0.002799999999999999	0.431710525938867	0.5673846726471832	0.0009048014139497563
0.002899999999999999	0.418951551770237	0.5800862700681019	0.0009621781616610313
0.0029999999999999988	0.4065696622730584	0.5924095316692118	0.001020806057729651
0.0030999999999999986	0.3945537129111354	0.6043656392584048	0.0010806478304596977
0.0031999999999999984	0.38289288851909103	0.615965444171179	0.0011416673097297979
0.0032999999999999982	0.37157669356798856	0.6272194770375746	0.001203829394436673
0.003399999999999998	0.36059494271864684	0.6381379572604522	0.0012671000209008767
0.003499999999999998	0.3499377516541479	0.6487308022136458	0.0013314461322062841
0.0035999999999999977	0.33959552818328453	0.6590076361682697	0.0013968356484457367
0.0036999999999999976	0.3295589636069407	0.6689777989552133	0.0014632374378460602
0.0037999999999999974	0.3198190243396344	0.6786503543716191	0.0015306212887464684
0.0038999999999999972	0.31036694377868074	0.6880340983389142	0.0015989578824051292
0.0039999999999999975	0.30119421441365807	0.6971375668197325	0.0016682187666094193
0.004099999999999998	0.29229258016907433	0.7059690435008595	0.0017383763300661123
0.004199999999999998	0.283654028973342	0.7145365672491095	0.0018094037775484516
0.004299999999999998	0.2752707855473729	0.7228479393468494	0.0018812751057777398
0.0043999999999999985	0.26713530440630207	0.7309107305136803	0.0019539650800177322
0.004499999999999999	0.25924026306804254	0.7387322877205967	0.002027449211360773
0.004599999999999999	0.251578555462557	0.7463197408027579	0.0021017037346852245
0.004699999999999999	0.24414328553591508	0.7536800088768206	0.002176705587264358
0.0048	0.23692776104337976	0.7608198065686128	0.002252432388007441
0.0049	0.2299254875259351	0.7677456500567506	0.002328862417314348
0.005	0.22313016246483508	0.7744638629376394	0.002405974597525556
0.0051	0.2165356696089111	0.7809805819171389	0.0024837484739499275
0.005200000000000001	0.2101360734695334	0.7873017623340134	0.0025621641964532122
0.005300000000000001	0.20392561397827055	0.7934331835201388	0.002641202501590686
0.005400000000000001	0.19789870130243922	0.799380454002293	0.0027208446952678537
0.005500000000000001	0.19204991081387746	0.805149016550209	0.002801072635913602
0.005600000000000002	0.18637397820641322	0.8107441530754361	0.0028818687181506653
0.005700000000000002	0.18086579475763354	0.8161709893854178	0.0029632158569486977
0.005800000000000002	0.17552040273068964	0.8214344997970646	0.0030450974722456958
0.0059000000000000025	0.17033299091199908	0.826539511613977	0.0031274974740239255
0.006000000000000003	0.16529889028082884	0.8314907094713442	0.003210400247826922
0.006100000000000003	0.16041356980686164	0.8362926395524338	0.003293790640704529
0.006200000000000003	0.15567263237196272	0.8409497136804639	0.00337765394757332
0.0063000000000000035	0.1510718108124769	0.8454662132895429	0.003461975897980137
0.006400000000000004	0.14660696407849316	0.8498462932782499	0.0035467426432568175
0.006500000000000004	0.14227407350662039	0.8540939857493249	0.0036319407440545664
0.006600000000000004	0.13806923920291894	0.8582132036388342	0.0037175571582467332
0.0067000000000000046	0.1339886765327331	0.8622077442380777	0.0038035792291891226
0.006800000000000005	0.13002871271426428	0.8660812926114083	0.0038899946743272636
0.006900000000000005	0.12618578351281962	0.8698374249130398	0.003976791574140383
0.007000000000000005	0.12245643003276019	0.8734796116058275	0.0040639583614121375
0.007100000000000006	0.1188372956042615	0.87701122058492	0.0041514838108184385
0.007200000000000006	0.11532512276208408	0.8804355202090929	0.004239357028823008
0.007300000000000006	0.11191675031363496	0.8837556822424935	0.004327567443871565
0.007400000000000006	0.10860911049368097	0.8869747847094432	0.004416104796875814
0.007500000000000007	0.10539922620315295	0.8900958146648684	0.004504959131978677
0.007600000000000007	0.10228420832955576	0.8931216708828519	0.004594120787592457
