# time	A	B	C
0	1.0	0.0	0.0
9.999999999999982e-05	0.04755250792540578	0.8601956379441255	0.06453862500617552
0.00019999999999999955	0.002261241009995779	0.8192027180840495	0.1494230808543391
0.0003000000000000008	0.00010752768104907689	0.7431532958697926	0.22748555557546038
0.0004000000000000032	5.113210905286725e-06	0.6724917610468552	0.2981757708996137
0.0005000000000000056	2.431460020979183e-07	0.60846966275558	0.36213857105555325
0.0006000000000000081	1.1562202191791992e-08	0.5505387817713059	0.42001174579512895
0.0007000000000000105	5.498117113603324e-10	0.4981231763739817	0.47237494626907506
0.0008000000000000129	2.6144925761943103e-11	0.4506979387514614	0.5197527591619295
0.0009000000000000154	1.2432567895039443e-12	0.4077879557251474	0.5626198322293717
0.0010000000000000152	5.911997833620084e-14	0.36896334002873565	0.6014056233112353
0.0011000000000000068	2.8113032383820068e-15	0.3338351326308961	0.6364987025017315
0.0011999999999999984	1.3368451952387921e-16	0.3020514064351007	0.6682506449713335
0.00129999999999999	6.357034174163329e-18	0.2732937405671304	0.6969795531734363
0.0013999999999999816	3.0229291794897696e-19	0.24727403032047077	0.7229732437098491
0.0014999999999999731	1.4374786376562764e-20	0.2237316008191192	0.7464921307816994
0.0015999999999999647	6.835571430975159e-22	0.2024305954823181	0.7677718351131639
0.0016999999999999563	3.2504856464612343e-23	0.18315761312795334	0.787025544485174
0.001799999999999948	1.5456874446476542e-24	0.16571957004226284	0.8044461495277784
0.0018999999999999395	7.350131446180774e-26	0.14994176559729974	0.8202081761682967
0.001999999999999941	3.4951718384728516e-27	0.1356661320368013	0.8344695340952343
0.0020999999999999543	1.6620418654963542e-28	0.12274965089618951	0.8473730987547052
0.0021999999999999676	7.903425898137154e-30	0.11106292019182157	0.8590481427283688
0.002299999999999981	3.7582772265902433e-31	0.10048885802507677	0.8696116308329468
0.002399999999999994	1.787155076033045e-32	0.09092152961351384	0.8791693919160983
0.0025000000000000074	8.498370591699058e-34	0.08226508599787387	0.8878171790881226
0.0026000000000000207	4.0411883491480447e-35	0.07443280379251022	0.8956416290112811
0.002700000000000034	1.9216864100091984e-36	0.06734621635911879	0.9027211298572391
0.0028000000000000472	9.138100824210698e-38	0.06093432769955147	0.9091266066281467
0.0029000000000000605	4.345396118664362e-39	0.0551329011922075	0.914922231708983
0.003000000000000074	2.0663448337181458e-40	0.04988381604630542	0.9201660677697394
0.003100000000000087	9.825987908200344e-42	0.04513448502676199	0.924910649458263
0.0032000000000001003	4.672503678796378e-43	0.04083732761623551	0.9292035097113792
0.0033000000000001136	2.2218926821745243e-44	0.0369492933362797	0.9330876559570547
0.003400000000000127	1.056565693785051e-45	0.033431430452066806	0.9366020009783835
0.00350000000000014	5.024234852742553e-47	0.030248495739808142	0.9397817527559293
0.0036000000000001534	2.389149676541404e-48	0.02736860140738089	0.9426587671940236
0.0037000000000001667	1.1361005892871578e-49	0.024762895630883436	0.9452618672647444
0.00380000000000018	5.402443227613577e-51	0.022405273506619694	0.9476171317668836
0.0039000000000001932	2.5689972439764933e-52	0.020272115522724312	0.9497481565927945
0.0040000000000002065	1.221622618045378e-53	0.018342050930342885	0.9516762911205836
0.00410000000000022	5.809121922645774e-55	0.01659574364373395	0.9534208520999058
0.004200000000000233	2.7623831626626144e-56	0.015015698524362724	0.9549993171741575
0.004300000000000246	1.3135824723552137e-57	0.013586086108270296	0.9564274999778338
0.00440000000000026	6.246414092734542e-59	0.012292584020773621	0.9577197085632436
0.004500000000000273	2.9703265565012573e-60	0.01112223348973143	0.9588888887437549
0.004600000000000286	1.4124647711906935e-61	0.010063309519874102	0.9599467537896424
0.004700000000000299	6.71662422264019e-63	0.009105203427556718	0.9609039017758677
0.004800000000000313	3.193923265790702e-64	0.00823831655912615	0.9617699217574297
0.004900000000000326	1.5187906140965026e-65	0.007453964128134174	0.9625534898359913
0.005000000000000339	7.222230271385578e-67	0.006744288208003087	0.9632624560802022
0.0051000000000003525	3.434351622191679e-68	0.006102179008472781	0.9639039231705331
0.005200000000000366	1.633120327328999e-69	0.005521203647148296	0.9644843175564968
0.005300000000000379	7.765896730845345e-71	0.004995541702555349	0.9650094538391453
0.005400000000000392	3.69287865841406e-72	0.004519926903051129	0.9654845930238498
0.005500000000000406	1.7560564167179655e-73	0.004089594367408647	0.9659144952269568
0.005600000000000419	8.350488667344071e-75	0.0037002328685118015	0.9663034673643554
0.005700000000000432	3.970866785348899e-76	0.0033479416419215113	0.9666554062997191
0.005800000000000445	1.8882467428103396e-77	0.00302919130660556	0.9669738378847
0.005900000000000459	8.979086820261029e-79	0.002740788506321828	0.9672619522821836
0.006000000000000472	4.269780971833689e-80	0.002479843917419503	0.9675226359264967
0.006100000000000485	2.030387935028683e-81	0.002243743302548864	0.9677585004407531
0.0062000000000004985	9.655003837209972e-83	0.002030121320285191	0.967971908801034
0.006300000000000512	4.591196464887504e-84	0.0018368378282821564	0.9681649990095446
0.006400000000000525	2.183229062836581e-85	0.001661956442551094	0.96833970551389
0.006500000000000538	1.038180173135127e-86	0.0015037251380652665	0.9684977785870718
0.006600000000000552	4.9368070911007194e-88	0.001360558696338932	0.9686408018623565
0.006700000000000565	2.3475755832576638e-89	0.0012310228241347316	0.9687702081986883
0.006800000000000578	1.1163310652834913e-90	0.001113819784194846	0.9688872940355885
0.006900000000000591	5.308434182926989e-92	0.0010077753940393817	0.9689932323813537
0.007000000000000605	2.524293585551304e-93	0.0009118272625812569	0.9690890845646808
0.007100000000000618	1.2003649073297935e-94	0.000825014146707711	0.9691758108674384
