# time	A	B
0.013799999999996313	0.3842173003959455	0.6157826996040596
0.01389999999999624	0.3815633068823416	0.6184366931176631
0.013999999999996167	0.37892764591535416	0.6210723540846504
0.014099999999996093	0.37631019086232026	0.6236898091376842
0.01419999999999602	0.37371081596529654	0.6262891840347087
0.014299999999995946	0.37112939633501635	0.628870603664989
0.014399999999995873	0.3685658079448898	0.6314341920551153
0.0144999999999958	0.36601992762504537	0.6339800723749602
0.014599999999995726	0.36349163305641075	0.6365083669435946
0.014699999999995652	0.3609808027648366	0.6390191972351686
0.014799999999995579	0.3584873161152609	0.6415126838847447
0.014899999999995505	0.3560110533059117	0.6439889466940943
0.014999999999995432	0.35355189536255166	0.6464481046374544
0.015099999999995358	0.35110972413276204	0.6488902758672442
0.015199999999995285	0.3486844222802653	0.6513155777197405
0.015299999999995212	0.3462758732792889	0.6537241267207166
0.015399999999995138	0.3438839614089655	0.6561160385910398
0.015499999999995065	0.34150857174777344	0.6584914282522328
0.015599999999994991	0.339149590168015	0.6608504098319918
0.015699999999995048	0.33680690333033303	0.6631930966696744
0.015799999999995148	0.3344803986782667	0.6655196013217409
0.015899999999995248	0.33216996443284164	0.6678300355671659
0.015999999999995348	0.32987548958720025	0.6701245104128074
0.016099999999995448	0.3275968639012692	0.6724031360987379
0.016199999999995548	0.325333977896462	0.6746660221035452
0.016299999999995648	0.32308672285041845	0.6769132771495889
0.016399999999995748	0.32085499079178204	0.6791450092082257
0.016499999999995848	0.3186386744950115	0.6813613255049965
0.016599999999995948	0.3164376674752299	0.683562332524778
0.016699999999996048	0.31425186398310806	0.6857481360169
0.016799999999996148	0.3120811589997837	0.6879188410002248
0.016899999999996248	0.30992544823181495	0.6900745517681937
0.016999999999996348	0.30778462810617174	0.6922153718938368
0.017099999999996448	0.30565859576525717	0.6943414042347515
0.017199999999996548	0.30354724906196634	0.6964527509380419
0.017299999999996648	0.3014504865547797	0.6985495134452285
0.017399999999996748	0.2993682075028876	0.7006317924971205
0.017499999999996848	0.2973003118613511	0.7026996881386569
0.017599999999996948	0.29524670027629435	0.7047532997237133
