# time	A	B	C
0	1.0	0.0	0.0
1e-05	0.997004495503373	0.0029954895116657432	1.4984961280856487e-08
2.0000000000000005e-05	0.9940179640539352	0.0059819760662843495	5.987978038549548e-08
3.000000000000001e-05	0.9910403787728836	0.008959486632553682	1.3459456265435664e-07
3.999999999999998e-05	0.9880717128619305	0.011928048098386749	2.390396827107321e-07
4.9999999999999955e-05	0.9851119396030628	0.014887687271153685	3.731257836541283e-07
5.999999999999993e-05	0.9821610323583009	0.01783843087792303	5.367637762560443e-07
6.99999999999999e-05	0.9792189645694597	0.020780305565702258	7.298648381581589e-07
7.999999999999987e-05	0.9762857097579094	0.023713337901677622	9.523404130729204e-07
8.999999999999984e-05	0.9733612415243368	0.026637554373453234	1.2041022099865292e-06
9.999999999999982e-05	0.970445533548508	0.02955298138928947	1.485062202364311e-06
0.00010999999999999979	0.9675385595890319	0.032459645278340644	1.7951326273584665e-06
0.00011999999999999976	0.9646402934831231	0.03535757229089196	2.1342259850181963e-06
0.00012999999999999974	0.9617507091463668	0.03824678859859578	2.5022550375021927e-06
0.00013999999999999972	0.9588697805724846	0.04112732029470716	2.8991328082934896e-06
0.0001499999999999997	0.9559974818331001	0.04399919339431869	3.3247725814166634e-06
0.00015999999999999966	0.953133787077505	0.046862433834594604	3.77908790065738e-06
0.00016999999999999963	0.9502786705324271	0.04971706747500429	4.261992568784277e-06
0.0001799999999999996	0.9474321065017985	0.052563120097554934	4.773400646773185e-06
0.00018999999999999958	0.9445940693665235	0.055400617407023636	5.31322645303366e-06
0.00019999999999999955	0.9417645335842488	0.05822958503118867	5.881384562637843e-06
0.00020999999999999952	0.9389434736891333	0.061050048521060225	6.4777898065516265e-06
0.0002199999999999995	0.9361308642916191	0.06386203335111029	7.102357270868123e-06
0.00022999999999999946	0.9333266800782023	0.066665564919502	7.755002296043428e-06
0.00023999999999999944	0.9305308958112062	0.06946066854831814	8.43564047613467e-06
0.00024999999999999957	0.9277434863285533	0.07224736948378907	9.144187658040372e-06
0.0002599999999999998	0.9249644265435395	0.07502569289652	9.880559940743027e-06
0.00027000000000000006	0.9221936914446084	0.07779566388171737	1.0644673674554011e-05
0.0002800000000000003	0.919431256095125	0.08055730745941495	1.1436445460360704e-05
0.00029000000000000054	0.9166770956331527	0.08331064857469883	1.2255792148875902e-05
0.0003000000000000008	0.9139311852712285	0.08605571209793192	1.310263083988946e-05
0.00031000000000000103	0.9111935002961409	0.08879252282497793	1.3976878881522174e-05
0.0003200000000000013	0.9084640160687066	0.09152110547742437	1.4878453869481915e-05
0.0003300000000000015	0.905742708023549	0.09424148470280518	1.5807273646321975e-05
0.00034000000000000176	0.9030295516688773	0.09695368507482248	1.6763256300701655e-05
0.000350000000000002	0.9003245225862662	0.09965773109356776	1.7746320166649014e-05
0.00036000000000000225	0.8976275964304355	0.10235364718574232	1.8756383822825903e-05
0.0003700000000000025	0.8949387489290316	0.10504145770487723	1.9793366091795162e-05
0.00038000000000000273	0.8922579558824087	0.10772118693155243	2.085718603929e-05
0.000390000000000003	0.8895851931634118	0.11039285907361523	2.194776297348556e-05
0.0004000000000000032	0.8869204367171578	0.11305649826639828	2.306501644427273e-05
0.00041000000000000346	0.8842636625608211	0.11571212857293668	2.420886624253405e-05
0.0004200000000000037	0.8816148467834163	0.11835977398418461	2.5379232399421812e-05
0.00043000000000000395	0.8789739655455834	0.12099945841923125	2.6576035185638363e-05
0.0004400000000000042	0.8763409950793735	0.12363120572551603	2.7799195110718498e-05
0.00045000000000000443	0.8737159116880344	0.1262550396790433	2.9048632922314067e-05
0.0004600000000000047	0.8710986917457982	0.12887098398459623	3.032426960548067e-05
0.0004700000000000049	0.8684893116976679	0.1314790622759502	3.1626026381966515e-05
0.00048000000000000516	0.865887748059205	0.13407929811608552	3.2953824709503455e-05
0.0004900000000000054	0.8632939774163195	0.13667171499739955	3.430758628109999e-05
0.0005000000000000056	0.8607079764250578	0.13925633634191792	3.5687233024336595e-05
0.0005100000000000059	0.8581297218113938	0.1418331855015056	3.709268710066302e-05
0.0005200000000000061	0.8555591903710185	0.14440228575807684	3.8523870904697734e-05
0.0005300000000000064	0.8529963589691315	0.146963660323805	3.998070706352947e-05
0.0005400000000000066	0.8504412045402331	0.14951733234133108	4.1463118436020864e-05
0.0005500000000000069	0.8478937040879161	0.15206332488397212	4.2971028112114144e-05
0.0005600000000000071	0.8453538346846592	0.15460166095592923	4.4504359412139e-05
0.0005700000000000073	0.8428215734716205	0.15713236349249404	4.6063035886122384e-05
0.0005800000000000076	0.8402968976584319	0.15965545536025558	4.7646981313100485e-05
0.0005900000000000078	0.8377797845229943	0.1621709593573058	4.9256119700432716e-05
0.0006000000000000081	0.8352702114112727	0.16467889821344497	5.089037528311779e-05
0.0006100000000000083	0.8327681557370915	0.16717929459038605	5.254967252311183e-05
0.0006200000000000086	0.8302735949819332	0.16967217108195878	5.423393610864846e-05
0.0006300000000000088	0.8277865066947344	0.17215755021431298	5.594309095356109e-05
0.000640000000000009	0.8253068684916833	0.1746354544461212	5.767706219660703e-05
0.0006500000000000093	0.8228346580560193	0.17710590616878102	5.943577520079381e-05
0.0006600000000000095	0.820369853137832	0.17956892770661645	6.121915555270735e-05
0.0006700000000000098	0.8179124315538604	0.18202454131707896	6.30271290618423e-05
0.00068000000000001	0.8154623711872936	0.18447276919094752	6.48596217599343e-05
0.0006900000000000103	0.8130196499875719	0.18691363345252887	6.67165599002943e-05
0.0007000000000000105	0.810584245970188	0.18934715615985592	6.85978699571447e-05
