# time	A	B	P	Q	X	Y	Z
0	0.06	0.06	0	0	1.584893192461111e-10	3.019951720402019e-07	4.78630092322638e-08
0.0010000000000000152	0.05999999997572084	0.05999999991823068	1.0658333960446075e-10	1.1626808873597889e-15	1.822292317465504e-10	3.0193645622710735e-07	4.78969109479277e-08
0.001999999999999941	0.05999999995144859	0.05999999982508097	2.2459644581289897e-10	2.670949961434453e-15	2.0590869941991022e-10	3.0186635024884635e-07	4.7942153434778424e-08
0.003000000000000074	0.05999999992718185	0.05999999972057805	3.540022503698659e-10	4.568793224004052e-15	2.2953573234466068e-10	3.017849024914609e-07	4.799869823283564e-08
0.0040000000000002065	0.05999999990292185	0.059999999604744905	4.94766601704812e-10	6.900042400054502e-15	2.5311957241369746e-10	3.0169215838728823e-07	4.806651105977208e-08
0.005000000000000339	0.05999999987866963	0.059999999477599826	6.468588630382772e-10	9.708466709020939e-15	2.7667068324139436e-10	3.015881598213321e-07	4.814556239515813e-08
0.006000000000000472	0.059999999854427014	0.05999999933915574	8.102525028468987e-10	1.3037875690420387e-14	3.0020074357286076e-10	3.0147294454585794e-07	4.8235828060104387e-08
0.007000000000000605	0.05999999983019336	0.05999999918941972	9.849256790451118e-10	1.6932233114641753e-14	3.2372264462217785e-10	3.013465456018396e-07	4.833728979408945e-08
0.008000000000000574	0.059999999805970775	0.05999999902839236	1.17086181844631e-09	2.1435782108111e-14	3.472504917655767e-10	3.0120899074570745e-07	4.844993583096301e-08
0.00899999999999984	0.05999999978175923	0.05999999885606718	1.3680501932672698e-09	2.6593181730729472e-14	3.707996110190649e-10	3.010603018796271e-07	4.857376147631719e-08
0.009999999999999105	0.05999999975756011	0.059999998672430034	1.5764864966386948e-09	3.2449655362891196e-14	3.9438656073845184e-10	3.00900494483346e-07	4.8708769688624616e-08
