# time	A	B
0	1.0	0.0
9.999999999999982e-05	0.9930927060285414	0.00690729397145818
0.00019999999999999955	0.9862331227670911	0.013766877232908219
0.0003000000000000008	0.9794209206637494	0.020579079336249733
0.0004000000000000032	0.9726557724429291	0.02734422755707046
0.0005000000000000056	0.96593735308963	0.03406264691036951
0.0006000000000000081	0.9592653398338277	0.040734660166171784
0.0007000000000000105	0.9526394121349646	0.04736058786503475
0.0008000000000000129	0.9460592516665518	0.05394074833344809
0.0009000000000000154	0.9395245423008727	0.06047545769912669
0.0010000000000000152	0.9330349700938007	0.06696502990619853
0.0011000000000000068	0.9265902232697116	0.07340977673028708
0.0011999999999999984	0.9201899922065088	0.07981000779349008
0.00129999999999999	0.9138339694207442	0.08616603057925427
0.0013999999999999816	0.907521849552851	0.09247815044714787
0.0014999999999999731	0.901253329352468	0.09874667064753086
0.0015999999999999647	0.8950281076638748	0.10497189233612383
0.0016999999999999563	0.8888458854115227	0.11115411458847614
0.001799999999999948	0.882706365585664	0.11729363441433459
0.0018999999999999395	0.876609253228086	0.12339074677191222
0.001999999999999941	0.8705542554179396	0.12944574458205893
0.0020999999999999543	0.8645410812576639	0.13545891874233454
0.0021999999999999676	0.8585694418590143	0.14143055814098354
0.002299999999999981	0.8526390503291829	0.14736094967081434
0.002399999999999994	0.8467496217570136	0.15325037824298288
0.0025000000000000074	0.8409008731993166	0.15909912680067964
0.0026000000000000207	0.8350925236672728	0.1649074763327232
0.002700000000000034	0.8293242941129364	0.17067570588705988
0.0028000000000000472	0.8235959074158262	0.17640409258417
0.0029000000000000605	0.817907088369615	0.18209291163038094
0.003000000000000074	0.8122575636689064	0.18774243633108925
0.003100000000000087	0.8066470618961051	0.19335293810389076
0.0032000000000001003	0.8010753135083752	0.19892468649162015
0.0033000000000001136	0.7955420508246944	0.20445794917530052
0.003400000000000127	0.7900470080129914	0.20995299198700354
0.00350000000000014	0.7845899210773752	0.2154100789226203
0.0036000000000001534	0.779170527845451	0.22082947215454485
0.0037000000000001667	0.7737885679557267	0.22621143204426974
0.00380000000000018	0.7684437828451031	0.23155621715489363
0.0039000000000001932	0.7631359157364523	0.2368640842635441
0.0040000000000002065	0.7578647116262824	0.24213528837371384
0.00410000000000022	0.7526299172724848	0.24737008272751101
0.004200000000000233	0.7474312811821691	0.2525687188178263
0.004300000000000246	0.74226855359958	0.25773144640041534
0.00440000000000026	0.7371414864940989	0.2628585135058967
0.004500000000000273	0.7320498335483265	0.26795016645166914
0.004600000000000286	0.7269933501462512	0.27300664985374434
0.004700000000000299	0.721971793361496	0.27802820663849986
0.004800000000000313	0.7169849219456476	0.28301507805434833
0.004900000000000326	0.7120324963166659	0.2879675036833298
0.005000000000000339	0.707114278547376	0.29288572145262015
0.0051000000000003525	0.7022300323540334	0.29776996764596225
0.005200000000000366	0.6973795230849775	0.30262047691501837
0.005300000000000379	0.692562517709354	0.30743748229064166
0.005400000000000392	0.6877787848059221	0.3122212151940734
0.005500000000000406	0.6830280945519359	0.31697190544806025
0.005600000000000419	0.6783102187121007	0.3216897812878956
0.005700000000000432	0.6736249306276122	0.32637506937238425
0.005800000000000445	0.6689720052052638	0.3310279947947325
0.005900000000000459	0.6643512189066348	0.33564878109336127
0.006000000000000472	0.6597623497373499	0.34023765026264613
0.006100000000000485	0.6552051772364142	0.34479482276358214
0.0062000000000004985	0.6506794824656212	0.3493205175343755
0.006300000000000512	0.6461850479990348	0.3538149520009619
0.006400000000000525	0.6417216579125447	0.358278342087452
0.006500000000000538	0.6372890977734913	0.3627109022265057
0.006600000000000552	0.6328871546303642	0.3671128453696327
0.006700000000000565	0.628515617002573	0.37148438299742437
0.006800000000000578	0.6241742748702839	0.3758257251297135
0.006900000000000591	0.6198629196643336	0.38013708033566423
0.007000000000000605	0.6155813442562056	0.3844186557437922
0.007100000000000618	0.6113293429480832	0.3886706570519153
0.007200000000000631	0.6071067114629622	0.3928932885370364
0.0073000000000006445	0.6029132469348419	0.39708675306515595
0.007400000000000658	0.5987487478989767	0.4012512521010214
0.007500000000000671	0.5946130142821963	0.405386985717802
0.007600000000000684	0.5905058473932949	0.40949415260670424
0.007700000000000698	0.5864270499134847	0.41357295008651473
0.007800000000000711	0.5823764258869174	0.4176235741130822
0.007900000000000648	0.5783537807112694	0.42164621928873036
0.008000000000000574	0.5743589211283924	0.42564107887160724
0.008100000000000501	0.5703916552150289	0.42960834478497034
0.008200000000000427	0.5664517923735926	0.4335482076264072
0.008300000000000354	0.5625391433230089	0.4374608566769913
0.00840000000000028	0.5586535200896248	0.44134647991037546
0.008500000000000207	0.5547947359981759	0.44520526400182453
0.008600000000000134	0.5509626056628186	0.4490373943371817
0.00870000000000006	0.5471569449782252	0.4528430550217756
0.008799999999999987	0.5433775711107356	0.45662242888926496
0.008899999999999913	0.5396243024895774	0.4603756975104238
0.00899999999999984	0.5358969587981389	0.4641030412018624
0.009099999999999766	0.53219536096531	0.46780463903469144
0.009199999999999693	0.5285193311568761	0.4714806688431249
0.00929999999999962	0.524868692766977	0.47513130723302394
0.009399999999999546	0.5212432704096205	0.4787567295903802
0.009499999999999472	0.5176428899102573	0.48235711008974363
0.009599999999999399	0.5140673782974121	0.48593262170258905
0.009699999999999325	0.5105165637943749	0.48948343620562595
0.009799999999999252	0.5069902758109486	0.4930097241890526
0.009899999999999179	0.5034883449352521	0.49651165506474937
0.009999999999999105	0.5000106029255812	0.49998939707442
0.010099999999999032	0.496556882702328	0.5034431172976733
0.010199999999998958	0.4931270183399521	0.5068729816600489
